REGIONI:, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020
ABRUZZO			, 1, 40, 24, 13, 218, 5, 8, 48, 8, 3, 19, 6, 3, 32, 2
BASILICATA			, 2, 25, 14, 3, 44, 3, 2, 21, 2, 3, 9, 6, 8, 12, 3
CALABRIA			, 6, 62, 61, 11, 145, 21, 31, 102, 5, 21, 29, 57, 29, 124, 6
CAMPANIA			, 30, 214, 276, 143, 325, 37, 16, 128, 16, 48, 107, 59, 66, 46, 15
EMILIA ROMAGNA			, 4, 128, 94, 68, 180, 33, 28, 199, 10, 29, 104, 135, 45, 37, 7
FRIULI VENEZIA GIULIA			, 2, 30, 26, 12, 70, 20, 10, 58, 8, 31, 9, 31, 9, 18, 5
LAZIO			, 18, 199, 138, 44, 269, 47, 35, 162, 18, 55, 63, 146, 40, 85, 21
LIGURIA			, 1, 34, 61, 12, 119, 20, 21, 87, 3, 24, 32, 19, 16, 13, 7
LOMBARDIA			, 49, 450, 234, 94, 288, 98, 104, 361, 35, 109, 100, 240, 135, 159, 45
MARCHE			, 2, 71, 47, 17, 66, 16, 15, 72, 1, 24, 28, 7, 5, 29, 6
MOLISE			, 0, 17, 9, 1, 24, 6, 0, 10, 1, 5, 9, 7, 1, 5, 0
PIEMONTE			, 11, 359, 153, 38, 180, 29, 58, 162, 14, 93, 101, 74, 21, 53, 21
PROV. AUTON. BOLZANO			, 0, 13, 20, 2, 55, 4, 0, 8, 0, 1, 1, 8, 8, 3, 2
PROV. AUTON. TRENTO			, 1, 23, 11, 47, 8, 5, 2, 25, 1, 7, 3, 10, 2, 3, 1
PUGLIA			, 14, 107, 132, 29, 340, 17, 28, 179, 8, 29, 125, 215, 18, 12, 0
SARDEGNA			, 1, 56, 56, 5, 118, 21, 14, 71, 4, 27, 24, 24, 53, 170, 0
SICILIA			, 1, 139, 133, 25, 394, 17, 37, 160, 10, 85, 55, 56, 104, 394, 5
TOSCANA			, 7, 122, 68, 112, 109, 22, 29, 174, 18, 43, 129, 69, 21, 48, 3
UMBRIA			, 3, 42, 10, 5, 15, 11, 11, 57, 2, 6, 6, 8, 8, 8, 4
VALLE D`AOSTA			, 0, 8, 4, 20, 0, 0, 1, 5, 1, 3, 2, 0, 0, 0, 1
VENETO			, 27, 200, 144, 40, 140, 32, 39, 207, 10, 46, 60, 118, 60, 77, 26
