Regione,Immatricolati 07-08,Immatricolati 08-09,Immatricolati 09-10,Immatricolati 10-11,Immatricolati 11-12,Immatricolati 12-13,Immatricolati 13-14,Immatricolati 14-15,Immatricolati 15-16,Immatricolati 16-17,Immatricolati 17-18,Immatricolati 18-19,Immatricolati 19-20
AB,558,651,0,1131,353,392,324,302,228,275,268,271,291
BA,65,68,0,78,88,90,82,83,82,89,92,78,76
CA,276,265,0,258,263,246,255,245,281,316,304,315,307
CAM,838,768,398,619,592,544,545,624,742,636,700,733,665
ER,1420,1432,1378,1281,821,863,807,839,938,987,990,896,897
FR,209,135,0,122,120,111,113,115,127,131,111,135,127
LA,405,369,427,431,419,448,401,429,500,479,437,447,450
LI,207,258,361,168,161,174,167,156,164,140,134,134,111
LO,1425,1465,1624,1522,898,1058,1131,890,1038,1063,919,1030,996
MA,333,435,214,508,468,293,484,484,499,453,463,509,459
PI,302,183,456,357,399,311,376,329,363,657,455,443,451
PU,1019,0,240,347,247,336,338,341,349,348,297,263,307
SA,371,75,241,233,258,223,246,257,243,293,417,255,262
SI,1226,701,398,637,597,632,516,598,609,568,531,534,529
TO,660,745,592,959,1349,509,490,355,455,553,490,421,431
UM,326,241,399,196,189,153,151,160,120,472,207,182,192
